,Link,Name
,,
,,All
0,https://www.alexa.com/topsites/category/Top/Regional/Africa,Africa
1,https://www.alexa.com/topsites/category/Top/Regional/Asia,Asia
2,https://www.alexa.com/topsites/category/Top/Regional/Caribbean,Caribbean
3,https://www.alexa.com/topsites/category/Top/Regional/Central_America,Central America
4,https://www.alexa.com/topsites/category/Top/Regional/Countries,Countries
5,https://www.alexa.com/topsites/category/Top/Regional/Europe,Europe
6,https://www.alexa.com/topsites/category/Top/Regional/Middle_East,Middle East
7,https://www.alexa.com/topsites/category/Top/Regional/North_America,North America
8,https://www.alexa.com/topsites/category/Top/Regional/Oceania,Oceania
9,https://www.alexa.com/topsites/category/Top/Regional/Polar_Regions,Polar Regions
10,https://www.alexa.com/topsites/category/Top/Regional/South_America,South America
