,Link,Name
,,
0,https://www.alexa.com/topsites/category/Top/Home/Apartment_Living,Apartment Living
1,https://www.alexa.com/topsites/category/Top/Home/Consumer_Information,Consumer Information
2,https://www.alexa.com/topsites/category/Top/Home/Cooking,Cooking
3,https://www.alexa.com/topsites/category/Top/Home/Do-It-Yourself,Do-It-Yourself
4,https://www.alexa.com/topsites/category/Top/Home/Emergency_Preparation,Emergency Preparation
5,https://www.alexa.com/topsites/category/Top/Home/Entertaining,Entertaining
6,https://www.alexa.com/topsites/category/Top/Home/Family,Family
7,https://www.alexa.com/topsites/category/Top/Home/Gardening,Gardening
8,https://www.alexa.com/topsites/category/Top/Home/Home_Improvement,Home Improvement
9,https://www.alexa.com/topsites/category/Top/Home/Homemaking,Homemaking
10,https://www.alexa.com/topsites/category/Top/Home/Homeowners,Homeowners
11,https://www.alexa.com/topsites/category/Top/Home/Moving_and_Relocating,Moving and Relocating
12,https://www.alexa.com/topsites/category/Top/Home/News_and_Media,News and Media
13,https://www.alexa.com/topsites/category/Top/Home/Personal_Finance,Personal Finance
14,https://www.alexa.com/topsites/category/Top/Home/Personal_Organization,Personal Organization
15,https://www.alexa.com/topsites/category/Top/Home/Rural_Living,Rural Living
16,https://www.alexa.com/topsites/category/Top/Home/Software,Software
17,https://www.alexa.com/topsites/category/Top/Home/Urban_Living,Urban Living
18,https://www.alexa.com/topsites/category/Top/Home/Weblogs,Weblogs
